Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Birmingham/Lyon,Birmingham,Lyon,France,FR003C2,UK002C1,:,0.123,:,13.971,:,48.7,:,0.6,:,139.8,:,6.2,:,15.7,:,70.8,:,85.5,:,"376,607",:,8,:,48.4,:,11.8,:,9.3,:,6.8,:,3.8,:,330.6,:,22.1,:,102,:,14,:,"498,200",:,7.494,:,6.8,:,"61,600",:,12.6,:,14.3,:,32.6,37,16,:,652,:,"4,237",:,"8,537",:,:,:,"4,300",:,"1,096",:,9.2,:,"162,792",:,"15,916",:,"528,900",:,7.4,:,6.534,:,"234,100",:,"294,900",:,"203,000",:,7.3,:,"290,244",:,"94,015",:,"74,991",:,7,:,"845,706",:,104,:,"20,300",:,"973,780",:,"68,777",:,74.2,:,"40,700",:,"114,110",:,480,:,"437,350",:,"20,400",:,"463,200",:,"209,500",:,"163,100",:,490.6,:,6,:,"520,039",:,"83,161",:,"308,210",:,51.3,:,37.3,:,6.9,:,25.5,:,"20,000",:,"88,684",:,"37,519",:,7.7,:,0.1,:,8.7,:,"41,813",:,"215,253",:,"40,025",:,"40,456",:,"21,800",:,"84,363",:,"42,845",:,59.1,:,"128,700",:,"23,000",:,"79,788",:,"143,544",:,"40,317",:,"34,565",:,67.4,:,"219,900",:,400,:,8.3,:,"14,000",:,"104,776",:,"52,020",:,"97,600",:,"260,100",:,"41,069",:,"278,300",:,"29,348",:,"71,313",:,"77,543",:,"43,295",:,72,:,"10,000",:,"178,814",:,"575,305",:,"272,400",:,"90,130",:,"39,332",:,"52,756",:,"36,677",:,"53,565",:,"51,951",:,"76,931",:,"40,255",:,"70,388",:,"68,539",:,"134,427",:,"105,516",:,"563,944",:,:,:,"4,283",:,"41,040",:,"65,888",:,"1,139,249",:,18,:,"72,232",:,2.7,:,"1,136,572",:,"41,955",:,"423,967",:,"47,885",:,"33,910",:,"70,600",:,"81,810",:,:,:,"232,961.10",:,"153,121.00",:,:,:,"1,748"
Bolton/Le Mans,Bolton,Le Mans,France,FR038C2,UK511C1,:,0.21,:,12.652,:,45.7,:,0.3,:,132.6,:,7.4,:,13.3,:,75.9,:,93.4,:,"115,023",:,:,:,47.7,:,14,:,11.4,:,6.3,:,5.2,:,403.5,:,30.1,:,101.6,:,6,:,"124,500",:,9.292,:,9.7,:,"20,700",:,12.3,:,6.3,:,38.8,8,8,:,204,:,"1,331",:,"2,649",:,10,:,"1,318",:,281,:,5.8,:,"17,878",:,"3,607",:,"133,500",:,6.8,:,7.208,:,"62,800",:,"70,700",:,"56,400",:,7,:,"33,391",:,"7,992",:,"8,580",:,5.9,:,"250,370",:,26,:,"3,500",:,"266,344",:,"9,886",:,87.8,:,"6,700",:,"17,560",:,144,:,"123,900",:,"3,200",:,"119,000",:,"49,800",:,"28,400",:,92.59,:,3.5,:,"115,027",:,"19,937",:,"93,210",:,54.3,:,34.2,:,4.5,:,11.7,:,"6,000",:,"19,150",:,"8,679",:,5,:,0.3,:,5.6,:,:,:,"24,811",:,"9,407",:,"8,892",:,"4,800",:,"19,381",:,"10,129",:,58.6,:,"35,100",:,"3,000",:,"16,758",:,"35,080",:,"9,809",:,"9,445",:,63.1,:,"59,400",:,300,:,2.8,:,"2,000",:,"16,554",:,"8,662",:,"17,000",:,"62,600",:,"9,539",:,"65,100",:,"9,076",:,"17,373",:,"18,086",:,"9,843",:,23,:,"3,000",:,"37,965",:,"143,699",:,"69,400",:,"18,815",:,"7,867",:,"7,892",:,"13,475",:,"16,564",:,"15,980",:,"27,704",:,"14,230",:,"21,107",:,"20,233",:,"39,979",:,"32,543",:,"141,394",:,:,:,"1,362",:,"12,031",:,"19,746",:,"285,093",:,14,:,"17,708",:,2.4,:,"284,396",:,"11,055",:,"120,085",:,"3,850",:,"2,690",:,"18,600",:,"6,545",:,:,:,"165,689.88",:,"102,078.00",:,:,:,485
Bolton/Paderborn,Bolton,Paderborn,Germany,DE523C1,UK511C1,:,0.21,:,12.652,30.3,45.7,0.3,0.3,154.9,132.6,8.9,7.4,16.5,13.3,56.8,75.9,88.8,93.4,:,"115,023",15.1,:,:,47.7,14.1,14,13.1,11.4,4.5,6.3,3.8,5.2,:,403.5,26.5,30.1,101.1,101.6,:,6,"74,913","124,500",:,9.292,8,9.7,"14,479","20,700",12.2,12.3,11.2,6.3,:,38.8,6,8,:,204,:,"1,331",:,"2,649",:,10,:,"1,318",:,281,7.9,5.8,"16,630","17,878",:,"3,607","77,094","133,500",5,6.8,:,7.208,"35,216","62,800","41,879","70,700","33,415","56,400",4.5,7,:,"33,391","5,900","7,992",:,"8,580",5.3,5.9,:,"250,370",:,26,995,"3,500","132,445","266,344","10,700","9,886",:,87.8,"2,759","6,700","47,233","17,560",:,144,"76,191","123,900","1,764","3,200","72,323","119,000",:,"49,800","27,073","28,400",:,92.59,7.2,3.5,"92,071","115,027","6,720","19,937","28,958","93,210",54.4,54.3,:,34.2,4.2,4.5,:,11.7,"3,488","6,000","11,573","19,150","3,207","8,679",3.6,5,0.2,0.3,2.8,5.6,"13,938",:,:,"24,811","3,538","9,407","4,101","8,892","6,761","4,800","7,511","19,381","3,410","10,129",60.2,58.6,"19,132","35,100","1,853","3,000","7,834","16,758","18,144","35,080","3,310","9,809",:,"9,445",66.1,63.1,"34,345","59,400",151,300,4,2.8,"6,116","2,000","11,794","16,554","6,135","8,662","12,817","17,000","38,908","62,600","3,663","9,539","40,569","65,100","5,224","9,076","9,159","17,373","6,745","18,086","3,848","9,843",149,23,743,"3,000","24,601","37,965","74,958","143,699",:,"69,400","13,028","18,815","3,733","7,867","5,659","7,892","5,532","13,475","10,024","16,564","9,466","15,980","11,901","27,704","6,369","14,230","13,314","21,107","10,345","20,233","21,021","39,979","19,490","32,543","74,117","141,394",:,:,216,"1,362","8,090","12,031","10,676","19,746","149,075","285,093",:,14,"8,985","17,708",:,2.4,:,"284,396",:,"11,055","83,730","120,085",:,"3,850",:,"2,690",:,"18,600","22,159","6,545",:,:,:,"165,689.88",:,"102,078.00","4,435",:,:,485
Bournemouth/Lucerne (Luzern),Bournemouth,Lucerne (Luzern),Switzerland,CH008C1,UK539C1,0,0.103,11.02,9.93,24.5,36,-0.2,0.2,172.3,137.9,10.2,8.8,18.8,13.7,54.6,66.2,75.7,85.1,"34,565","83,995",4.7,:,37,47.5,13.6,13,11.7,10.7,3.5,4.6,4.2,4,424.6,431.7,30.1,30.1,107.7,98.5,0,2,"45,616","93,800",9.963,9.92,9.3,9.3,"6,372","15,000",14.7,13.6,24.3,14.5,41,38.8,:,4,35,101,441,"1,017",811,"1,930",5,:,370,913,66,177,5.8,9.2,"19,785","28,217",897,"1,932","47,928","103,800",4.6,5.7,4.459,4.658,"23,491","47,100","24,438","56,800","21,282","40,000",3.9,5.7,"24,609","39,575","11,670","15,874","12,009","15,249",3.9,5.7,"56,792","154,226",4,9,"1,103","2,200","61,616","165,584","8,115","12,343",69.8,79.3,"2,011","3,100","44,009","45,280",:,63,"45,804","89,870",907,900,"43,646","90,900","23,468","42,400","28,207","25,300",40,85.19,10,6.3,"81,515","86,574","3,148","11,074","1,795","34,890",64.4,57.9,48.5,42.7,3.7,1.6,30.2,20.3,"3,430","3,500","7,782","12,661","1,412","4,374",4.2,3,0.2,0.1,4.7,4.7,"3,818",:,"12,600","24,326","1,418","4,660","1,568","5,643","6,295","4,700","3,781","11,000","1,590","5,671",68.8,63.5,"16,219","24,700","6,371","8,000","3,143","11,085","11,996","26,456","1,558","5,403","7,117","6,585",73.6,69.2,"22,361","42,100",152,75,14.3,8.2,"2,361","3,000","4,757","17,826","2,297","8,856","13,204","11,500","22,364","50,900","1,796","5,409","23,255","51,700","3,040","7,199","6,169","13,941","2,830","9,033","1,985","5,591",236,:,"1,458","3,500","15,328","26,595","42,210","96,539","17,919","47,200","7,546","13,935","1,575","5,443","2,460","8,970","3,421","8,868","4,901","10,436","4,610","10,443","7,574","18,144","4,153","9,276","8,277","17,124","5,509","12,130","11,056","25,341","9,511","20,878","39,191","98,015","35,309",:,468,998,"5,237","9,925","5,547","13,212","81,401","194,554",2,1,"5,827","12,515",1.9,2.2,"78,989","193,801","8,217","8,080","41,021","87,489","10,557",:,"8,640",:,"7,004","4,400","19,198",:,"6,076",:,:,"412,534.70",:,"205,093.00",:,:,101,278
Bradford/Mönchengladbach,Bradford,Mönchengladbach,Germany,DE036C1,UK005C1,0.267,0.28,:,13.515,30.7,51.5,0.5,0.4,150.9,144.5,10.8,6.6,13.2,13.4,64.9,77.7,84.7,91.3,:,"191,254",13.9,15.1,:,51.7,15.5,12.8,14.4,10.9,4.5,7.2,5.3,3.4,:,356.8,34.2,26.2,103.4,102.9,7,15,"123,927","215,800",:,8.459,9.9,8.1,"25,401","32,900",11.5,13.2,15.3,7.6,:,36.2,5,11,:,355,:,"2,287",:,"4,534",:,:,:,"2,247",:,490,6,6,"40,081","40,621",:,"7,244","127,032","225,900",4.7,7.5,:,6.074,"58,317","98,800","68,714","127,100","54,406","91,500",4.4,7.7,"61,900","73,821","17,900","21,080","27,100","20,479",5.1,6.6,"200,300","456,597",:,44,"2,702","3,600","222,107","489,437","22,200","19,541",76.4,85.2,"7,219","9,500","88,365","33,730",:,256,"137,512","214,750","4,517","5,900","117,137","206,900",:,"77,700","32,242","64,000",:,227.35,8.5,3.6,"122,848","204,932","11,409","41,272","49,147","162,220",50.2,46.5,:,28.9,6.6,4.6,23.6,13.8,"6,470","7,000","16,763","36,593","5,727","19,210",5.7,4.2,0.3,0.6,4.6,3.6,"17,113","30,878","34,800","53,342","6,069","19,588","6,880","18,074","6,324","6,300","12,295","40,007","5,897","21,136",56,54.3,"33,620","56,200","5,183","7,000","13,299","35,376","30,076","70,636","5,512","20,136",:,"15,430",62.1,62.5,"56,933","94,400",357,"1,250",6.8,3.9,"1,743","5,000","15,746","32,386","7,946","16,626","18,564","24,300","62,731","115,400","5,942","19,907","66,995","121,400","11,304","14,540","15,034","35,738","11,796","38,797","6,353","20,100",32,19,"1,233","3,500","34,684","71,607","133,263","271,763",:,"139,300","17,921","35,014","6,419","17,302","7,800","15,760","12,327","21,015","19,212","29,766","18,582","28,444","26,016","43,345","13,689","22,330","28,359","35,546","20,102","34,857","40,714","68,808","37,794","58,209","128,925","264,224",:,:,:,"4,090","17,055","21,007","20,612","33,951","262,188","535,987",:,7,"15,042","34,898",1.9,2.6,"257,600","530,418",:,"18,060","137,100","202,706",:,"5,760",:,"4,355",:,"36,600","8,401","10,115",:,:,:,"167,093.80",:,"113,130.00","6,934",:,:,845
Bristol/Bordeaux,Bristol,Bordeaux,France,FR007C1,UK011C1,:,0.152,:,12.616,:,36.7,:,0.8,:,141.2,:,6.1,:,19.7,:,57,:,89.2,:,"174,223",:,4.9,:,38.8,:,11.1,:,8.9,:,5.2,:,4.4,:,377.7,:,20.4,:,99.6,:,7,:,"247,000",:,7.598,:,6.9,:,"30,800",:,13.1,:,10.7,:,32.5,17,7,:,231,:,"1,706",:,"3,505",:,27,:,"1,799",:,393,:,10.9,:,"49,554",:,"5,820",:,"260,500",:,6.4,:,3.436,:,"125,400",:,"135,200",:,"114,200",:,6.1,:,"73,417",:,"27,603",:,"29,186",:,5.7,:,"387,749",:,20,:,"5,500",:,"411,612",:,"21,951",:,84.1,:,"9,800",:,"72,410",:,138,:,"198,980",:,"4,300",:,"239,100",:,"143,800",:,"79,700",:,181.88,:,4.8,:,"274,029",:,"28,146",:,"121,540",:,65.8,:,59.1,:,3.2,:,15.9,:,"12,000",:,"43,665",:,"11,743",:,3.8,:,0,:,4.4,:,"13,545",:,"44,231",:,"12,069",:,"12,990",:,"10,900",:,"29,397",:,"14,416",:,68.6,:,"67,100",:,"15,000",:,"26,321",:,"60,423",:,"13,731",:,"18,005",:,71.3,:,"118,900",:,75,:,6,:,"16,000",:,"50,310",:,"24,868",:,"54,800",:,"124,900",:,"14,245",:,"128,100",:,"11,647",:,"31,435",:,"23,812",:,"15,152",:,54,:,"4,500",:,"90,756",:,"230,162",:,"94,400",:,"47,092",:,"13,332",:,"25,442",:,"15,490",:,"20,871",:,"20,296",:,"31,795",:,"16,305",:,"28,095",:,"25,395",:,"51,109",:,"41,167",:,"231,167",:,:,:,775,:,"16,448",:,"25,715",:,"461,329",:,7,:,"28,988",:,2.4,:,"460,946",:,"22,170",:,"193,576",:,"13,730",:,"11,105",:,"11,300",:,"24,850",:,:,:,"355,411.00",:,"257,422.00",:,:,:,624
Bristol/Hannover,Bristol,Hannover,Germany,DE013C1,UK011C1,0.28,0.152,:,12.616,27.7,36.7,0.4,0.8,160,141.2,10.2,6.1,16.8,19.7,57.3,57,83,89.2,:,"174,223",12.7,4.9,:,38.8,14.4,11.1,12.1,8.9,4,5.2,2.8,4.4,:,377.7,29.6,20.4,104.9,99.6,15,7,"267,059","247,000",:,7.598,8.6,6.9,"45,042","30,800",13.1,13.1,17,10.7,:,32.5,13,7,:,231,:,"1,706",:,"3,505",:,27,:,"1,799",:,393,7.2,10.9,"90,876","49,554",:,"5,820","272,080","260,500",4.9,6.4,:,3.436,"128,150","125,400","143,930","135,200","121,311","114,200",4.3,6.1,:,"73,417","32,100","27,603",:,"29,186",4.4,5.7,:,"387,749",:,20,"4,991","5,500","444,185","411,612","58,800","21,951",:,84.1,"12,917","9,800","251,238","72,410",:,138,"296,889","198,980","7,926","4,300","255,266","239,100",:,"143,800","119,442","79,700",:,181.88,11,4.8,"385,537","274,029","22,790","28,146","45,651","121,540",53.5,65.8,:,59.1,5.5,3.2,:,15.9,"10,932","12,000","44,474","43,665","10,597","11,743",4.7,3.8,0,0,3.9,4.4,"48,943","13,545",:,"44,231","11,011","12,069","12,114","12,990","22,462","10,900","26,099","29,397","11,730","14,416",58.6,68.6,"67,281","67,100","23,726","15,000","23,601","26,321","70,289","60,423","11,060","13,731",:,"18,005",64,71.3,"125,733","118,900",171,75,6,6,"18,679","16,000","38,756","50,310","19,365","24,868","69,192","54,800","133,956","124,900","12,511","14,245","141,326","128,100","21,068","11,647","35,177","31,435","21,608","23,812","13,588","15,152",95,54,"4,709","4,500","89,930","90,756","273,869","230,162",:,"94,400","45,456","47,092","11,487","13,332","19,391","25,442","21,087","15,490","33,003","20,871","31,489","20,296","45,930","31,795","24,843","16,305","54,773","28,095","37,686","25,395","76,793","51,109","64,492","41,167","261,192","231,167",:,:,"5,001",775,"33,705","16,448","39,107","25,715","535,061","461,329",:,7,"35,112","28,988",1.8,2.4,"524,200","460,946",:,"22,170","299,030","193,576",:,"13,730",:,"11,105",:,"11,300","51,092","24,850",:,:,:,"355,411.00",:,"257,422.00","18,191",:,:,624
Bristol/Porto,Bristol,Porto,Portugal,PT002C1,UK011C1,0.326,0.152,9.208,12.616,31.3,36.7,0.2,0.8,194.6,141.2,13.9,6.1,9.4,19.7,82.7,57,:,89.2,:,"174,223",:,4.9,:,38.8,13.6,11.1,14.7,8.9,4.1,5.2,:,4.4,:,377.7,51.4,20.4,122.3,99.6,7,7,:,"247,000",13.906,7.598,14.3,6.9,:,"30,800",12.5,13.1,5.4,10.7,49,32.5,:,7,140,231,"1,537","1,706","2,984","3,505",:,27,"1,447","1,799",317,393,4.5,10.9,"11,634","49,554","1,976","5,820",:,"260,500",4.5,6.4,5.061,3.436,:,"125,400",:,"135,200",:,"114,200",4.1,6.1,:,"73,417","3,349","27,603",:,"29,186",4.4,5.7,:,"387,749",10,20,:,"5,500",:,"411,612","8,285","21,951",:,84.1,:,"9,800",:,"72,410",:,138,"138,900","198,980",:,"4,300",:,"239,100",:,"143,800",:,"79,700",146.54,181.88,3.9,4.8,"152,913","274,029","8,843","28,146",:,"121,540",:,65.8,:,59.1,:,3.2,:,15.9,:,"12,000","9,946","43,665","4,235","11,743",:,3.8,:,0,:,4.4,:,"13,545",:,"44,231","4,477","12,069","4,991","12,990",:,"10,900","9,697","29,397","4,425","14,416",:,68.6,:,"67,100",:,"15,000","9,492","26,321","26,853","60,423","4,418","13,731",:,"18,005",:,71.3,:,"118,900",:,75,1.6,6,:,"16,000","9,603","50,310","4,916","24,868",:,"54,800",:,"124,900","4,719","14,245",:,"128,100","10,106","11,647","12,735","31,435","8,712","23,812","4,978","15,152",271,54,:,"4,500","20,141","90,756","118,042","230,162",:,"94,400","10,195","47,092","4,501","13,332","4,687","25,442","12,814","15,490","17,892","20,871","13,679","20,296","30,611","31,795","17,797","16,305","29,776","28,095","16,059","25,395","29,288","51,109","31,571","41,167","96,545","231,167",:,:,:,775,"19,670","16,448","13,229","25,715","214,587","461,329",3,7,"14,118","28,988",:,2.4,:,"460,946",:,"22,170",:,"193,576","31,197","13,730","26,996","11,105",:,"11,300","58,193","24,850",:,:,"204,083.00","355,411.00","165,449.00","257,422.00",:,:,457,624
Cambridge/Heidelberg,Cambridge,Heidelberg,Germany,DE522C1,UK017C1,0.187,:,:,11.305,24.8,36.7,0.4,0.5,157.6,137.2,8.5,6.2,20.4,16.2,48.9,56.7,79.4,68.8,:,"39,342",11.6,:,:,18.8,12.5,11.2,10.5,8.7,3.6,4.8,2.1,1.4,:,313.9,24.1,20,107.7,93,3,:,"70,676","65,300",:,6.694,7.7,6.6,"10,704","6,600",13,12,20.6,28.6,:,30.6,5,8,:,46,:,438,:,839,:,:,:,401,:,88,10.8,15.8,"33,005","35,905",:,"1,417","71,435","70,800",4.5,5.4,:,4.234,"35,306","33,900","36,129","36,900","34,089","30,800",3.8,5.7,"47,300","41,727","13,300","22,884","18,300","19,921",4.7,7.5,"113,300","80,384",:,6,835,:,"127,596","86,206","19,700","13,021",70.5,64.1,"2,220","3,300","65,154","21,290",:,43,"79,942","54,330","1,385","2,600","68,588","62,600",:,"47,600","45,375","42,900",:,:,12.3,10.4,"109,122","108,558","6,154","7,088","14,788","33,080",47.8,66.9,:,79.2,3.8,7,29.5,33.3,"2,319","1,500","16,511","8,222","2,863","2,984",3.1,4.7,0.2,0,2.4,:,"12,644",:,"29,000","21,806","2,849","3,091","3,847","4,690","5,063","5,200","7,261","6,796","3,205","3,679",50.5,67.2,"17,759","22,600","2,457","1,250","7,609","9,395","20,863","14,997","2,949","3,409",:,"4,965",53.5,67.5,"34,866","31,500",262,35,8.3,18.3,"4,708","8,000","17,277","19,862","7,743","10,501","17,565","22,800","34,499","31,800","3,542","3,326","35,809","33,900","5,303","3,284","10,473","7,711","5,712","6,074","3,719","3,470",226,164,971,"2,000","32,700","20,256","83,282","60,407",:,"11,300","16,189","12,034","3,762","4,705","9,534","9,362","5,674","3,930","8,761","5,530","8,165","5,355","12,328","8,212","6,654","4,282","13,661","7,789","9,958","6,797","20,110","13,987","16,926","10,885","77,319","64,932",:,:,:,410,"8,358","4,506","10,152","7,191","160,601","125,339",:,4,"10,390","7,286",1.9,2.7,"160,600","122,111",:,"6,695","83,452","44,608",:,"9,640",:,"10,860",:,"4,200","36,254","20,510",:,:,:,"602,139.67",:,"336,180.00","2,341",:,:,134
Cambridge/Szeged,Cambridge,Szeged,Hungary,HU006C1,UK017C1,0.31,:,8.081,11.305,28.6,36.7,0,0.5,202.8,137.2,8.2,6.2,14.5,16.2,60,56.7,:,68.8,"55,140","39,342",:,:,:,18.8,13,11.2,12.4,8.7,4.4,4.8,:,1.4,342.2,313.9,31.4,20,117.1,93,5,:,:,"65,300",12.127,6.694,11.4,6.6,:,"6,600",15.4,12,2.5,28.6,40,30.6,:,8,127,46,"1,039",438,"1,954",839,24,:,915,401,241,88,7.2,15.8,"3,973","35,905","1,302","1,417",:,"70,800",4.4,5.4,3.84,4.234,:,"33,900",:,"36,900",:,"30,800",4.4,5.7,"17,002","41,727","1,854","22,884","5,567","19,921",4.6,7.5,"144,120","80,384",5,6,"1,269",:,:,"86,206","2,120","13,021",89.4,64.1,"2,465","3,300",:,"21,290",116,43,"81,559","54,330","1,196","2,600",:,"62,600",:,"47,600",:,"42,900",51.73,:,1.3,10.4,:,"108,558","7,096","7,088",:,"33,080",:,66.9,:,79.2,:,7,10.6,33.3,:,"1,500","11,645","8,222","3,480","2,984",:,4.7,:,0,:,:,:,:,"11,435","21,806","3,657","3,091","3,826","4,690",:,"5,200","7,094","6,796","3,581","3,679",:,67.2,:,"22,600",:,"1,250","7,487","9,395","24,859","14,997","3,515","3,409",:,"4,965",:,67.5,:,"31,500",:,35,1.2,18.3,:,"8,000","11,571","19,862","5,600","10,501",:,"22,800",:,"31,800","3,466","3,326",:,"33,900","4,366","3,284","12,215","7,711","7,137","6,074","3,628","3,470",74,164,:,"2,000","23,364","20,256","86,920","60,407",:,"11,300","11,719","12,034","3,661","4,705","5,971","9,362","7,204","3,930","11,503","5,530","8,499","5,355","18,408","8,212","11,204","4,282","13,221","7,789","10,976","6,797","20,883","13,987","20,002","10,885","74,202","64,932",:,:,:,410,"8,855","4,506","9,907","7,191","161,122","125,339",:,4,"12,644","7,286",:,2.7,:,"122,111",:,"6,695",:,"44,608","6,607","9,640","5,326","10,860",:,"4,200","11,933","20,510",:,:,"69,307.48","602,139.67","48,577.80","336,180.00","3,777",:,368,134
